delay_ms,trial,group_id,nonce,join_ms,send_ms,bob_check_ms,bob_saw
0,1,6085d76e005cf7829f824f3760038ae1879ba6003d09574c06efd758e7fc9693,grp-d0-t1-b7a1df1f6c2b,1777459570529,1777459570566,1777459572629,0
0,2,fb424856922df425ebbab83f80f73d245a89314b178bce1ad0a51def25077b78,grp-d0-t2-5e08d41f605d,1777459574879,1777459574919,1777459576985,0
500,1,ea3681c8b72f8dd6da6abeace27445a00d85a5a1aeb59dac6b2aa61198b82f62,grp-d500-t1-a8a7f91ed4fe,1777459579224,1777459579798,1777459581858,0
500,2,1a87be07dbac710ca92d9dae7b7de0f9ffafccdaabcdb2eb33bde260ac5c6d26,grp-d500-t2-219bb4a1d65a,1777459584092,1777459584663,1777459586731,0
2000,1,bf12c2ad33c26979037fcbd85d218b4b12bce80c4115301aa321560a3c0eb4b7,grp-d2000-t1-def585669659,1777459588965,1777459591040,1777459593107,0
2000,2,1a4d7b18200f6764fcd7ecf663dc898bb0c9b6b4cc0b595fa632969c07b4db5f,grp-d2000-t2-1fd94304002b,1777459595338,1777459597400,1777459599451,0
