tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777321666,2026-04-27T20:27:46Z,saorsa-7,3,0,0,0,0,0,0,0,0,61,61,0,5,0,0,0,0,0,0,0,0,4000
1777321736,2026-04-27T20:28:56Z,saorsa-2,5,1413,1413,0,186,4822,4822,0,9,156,156,0,1,0,25,10000,0,1,4000,0,0,4000
1777321736,2026-04-27T20:28:56Z,saorsa-3,5,1641,1641,0,136,4751,4751,0,83,153,153,0,4,0,55,10000,0,0,4000,0,0,4000
1777321736,2026-04-27T20:28:56Z,saorsa-6,5,1602,1602,0,119,4786,4786,0,0,152,152,0,2,0,11,10000,0,1,4000,0,0,4000
1777321736,2026-04-27T20:28:56Z,saorsa-7,3,0,0,0,0,0,0,0,0,66,66,0,5,0,0,0,0,0,0,0,0,4000
1777321806,2026-04-27T20:30:06Z,saorsa-2,5,1521,1521,0,186,5128,5128,0,9,167,167,0,1,0,25,10000,0,1,4000,0,0,4000
1777321806,2026-04-27T20:30:06Z,saorsa-3,5,1710,1710,0,136,5059,5059,0,83,163,163,0,4,0,55,10000,0,0,4000,0,0,4000
1777321806,2026-04-27T20:30:06Z,saorsa-6,5,1739,1739,0,119,5090,5090,0,0,161,161,0,2,0,11,10000,0,1,4000,0,0,4000
1777321806,2026-04-27T20:30:06Z,saorsa-7,3,0,0,0,0,0,0,0,0,70,70,0,5,0,0,0,0,0,0,0,0,4000
1777321878,2026-04-27T20:31:18Z,saorsa-2,5,1625,1625,0,186,5437,5437,0,9,175,175,0,1,0,25,10000,0,1,4000,0,0,4000
1777321878,2026-04-27T20:31:18Z,saorsa-3,5,1865,1865,0,136,5366,5366,0,83,171,171,0,4,0,55,10000,0,0,4000,0,0,4000
1777321878,2026-04-27T20:31:18Z,saorsa-6,5,1839,1839,0,119,5391,5391,0,0,170,170,0,2,0,11,10000,0,1,4000,0,0,4000
